customer_id,recency,frequency,monetary,customer_type,r_score,f_score,m_score,rfm_score,rfm_avg_score,segment
C00001,3,7,5022.56,VIP,1,4,5,145,3.3333333333333335,Loyal Customers
C00002,62,3,1756.0,VIP,2,1,3,213,2.0,About to Sleep
C00003,39,5,2820.9300000000003,Regular,2,3,4,234,3.0,At Risk
C00004,235,8,4859.28,Regular,5,5,5,555,5.0,Champions
C00005,293,1,98.16,Regular,5,1,1,511,2.3333333333333335,New Customers
C00006,38,6,6420.539999999999,Occasional,2,4,5,245,3.6666666666666665,Loyal Customers
C00007,165,4,1352.3,Occasional,4,2,3,423,3.0,New Customers
C00008,29,5,1391.15,Regular,1,3,3,133,2.3333333333333335,At Risk
C00009,62,3,790.78,Regular,2,1,2,212,1.6666666666666667,About to Sleep
C00010,183,6,305.73,Occasional,4,4,1,441,3.0,Potential Loyalists
C00011,224,3,281.82,Regular,5,1,1,511,2.3333333333333335,New Customers
C00012,214,8,1759.44,Regular,4,5,3,453,4.0,Potential Loyalists
C00013,232,5,3998.88,Occasional,5,3,5,535,4.333333333333333,Potential Loyalists
C00014,62,5,876.88,Occasional,2,3,2,232,2.3333333333333335,Others
C00015,390,2,14396.72,VIP,5,1,5,515,3.6666666666666665,New Customers
C00016,322,5,2022.54,Occasional,5,3,3,533,3.6666666666666665,Potential Loyalists
C00017,470,2,1922.3600000000001,VIP,5,1,3,513,3.0,New Customers
C00018,33,8,2007.7800000000002,Regular,2,5,3,253,3.3333333333333335,At Risk
C00019,34,9,4440.95,Occasional,2,5,5,255,4.0,Loyal Customers
C00020,25,5,3440.66,Occasional,1,3,4,134,2.6666666666666665,At Risk
C00021,198,3,4203.349999999999,Occasional,4,1,5,415,3.3333333333333335,New Customers
C00022,392,2,108.59,Regular,5,1,1,511,2.3333333333333335,New Customers
C00023,42,7,5046.52,Regular,2,4,5,245,3.6666666666666665,Loyal Customers
C00024,100,5,1686.8,Regular,3,3,3,333,3.0,Promising
C00025,6,9,4061.0200000000004,Regular,1,5,5,155,3.6666666666666665,Loyal Customers
C00026,62,4,688.14,Regular,2,2,1,221,1.6666666666666667,About to Sleep
C00027,274,8,2593.35,Regular,5,5,4,554,4.666666666666667,Champions
C00028,175,8,2985.85,Regular,4,5,4,454,4.333333333333333,Champions
C00029,223,6,3800.8,VIP,4,4,5,445,4.333333333333333,Champions
C00030,103,5,3466.21,Regular,3,3,4,334,3.3333333333333335,Promising
C00031,76,5,1367.1,Occasional,3,3,3,333,3.0,Promising
