transaction_id,customer_id,customer_type,date,category,product_price,quantity,total_amount,payment_method,device,region,rating,year_month,day_of_week
T000000,C01127,Regular,2024-03-11,Sports,491.66,1,491.66,Debit Card,Mobile,North America,4,2024-03,Monday
T000001,C00131,Occasional,2024-10-23,Sports,334.28,1,334.28,Credit Card,Mobile,Europe,4,2024-10,Wednesday
T000002,C01585,Regular,2024-04-19,Home & Garden,44.88,1,44.88,Debit Card,Mobile,Others,2,2024-04,Friday
T000003,C01529,Regular,2023-05-11,Sports,101.64,3,304.93,PayPal,Mobile,North America,5,2023-05,Thursday
T000004,C01364,VIP,2023-04-02,Books,49.46,4,197.84,Debit Card,Mobile,Europe,3,2023-04,Sunday
T000005,C01130,Regular,2024-04-21,Clothing,273.02,1,273.02,Credit Card,Mobile,North America,5,2024-04,Sunday
T000006,C00296,Regular,2024-12-25,Sports,661.9,1,661.9,Credit Card,Desktop,North America,5,2024-12,Wednesday
T000007,C01863,Regular,2024-06-04,Electronics,71.86,2,143.72,PayPal,Mobile,North America,5,2024-06,Tuesday
T000008,C00041,Regular,2023-01-28,Electronics,349.85,1,349.85,PayPal,Desktop,Asia,5,2023-01,Saturday
T000009,C00961,Occasional,2024-09-04,Beauty,59.96,1,59.96,PayPal,Mobile,Europe,3,2024-09,Wednesday
T000010,C01715,Regular,2024-07-28,Electronics,1007.38,1,1007.38,PayPal,Mobile,North America,5,2024-07,Sunday
T000011,C01723,Occasional,2023-08-31,Beauty,59.6,1,59.6,Credit Card,Mobile,Asia,4,2023-08,Thursday
T000012,C01664,Regular,2024-05-20,Books,49.87,2,99.75,Credit Card,Mobile,North America,2,2024-05,Monday
T000013,C01435,Regular,2024-10-10,Beauty,21.68,3,65.04,Debit Card,Desktop,North America,3,2024-10,Thursday
T000014,C01521,Regular,2024-03-17,Books,46.97,1,46.97,Credit Card,Tablet,Europe,5,2024-03,Sunday
T000015,C00855,Regular,2023-08-13,Electronics,284.9,3,854.7,Debit Card,Desktop,North America,4,2023-08,Sunday
T000016,C00767,Regular,2023-10-21,Sports,394.85,1,394.85,Credit Card,Mobile,North America,5,2023-10,Saturday
T000017,C00660,Regular,2024-02-07,Clothing,57.75,1,57.75,Credit Card,Desktop,North America,5,2024-02,Wednesday
T000018,C01977,Occasional,2024-04-17,Clothing,149.82,1,149.82,Debit Card,Mobile,North America,5,2024-04,Wednesday
T000019,C01328,Regular,2023-09-11,Books,46.88,1,46.88,PayPal,Desktop,Europe,4,2023-09,Monday
T000020,C01697,Occasional,2024-09-19,Home & Garden,254.97,1,254.97,Bank Transfer,Tablet,North America,5,2024-09,Thursday
T000021,C00878,Regular,2023-12-04,Clothing,209.52,2,419.04,Credit Card,Desktop,Europe,4,2023-12,Monday
T000022,C01159,Regular,2023-07-14,Electronics,923.6,2,1847.19,Debit Card,Tablet,Europe,4,2023-07,Friday
T000023,C01800,Regular,2023-10-10,Home & Garden,217.49,1,217.49,PayPal,Mobile,North America,4,2023-10,Tuesday
T000024,C01073,Occasional,2024-05-26,Electronics,500.19,2,1000.39,Bank Transfer,Mobile,Europe,5,2024-05,Sunday
T000025,C00607,Occasional,2023-04-09,Books,15.17,2,30.33,Credit Card,Mobile,Asia,3,2023-04,Sunday
T000026,C00570,VIP,2023-11-19,Beauty,270.7,1,270.7,PayPal,Desktop,Europe,5,2023-11,Sunday
T000027,C01835,Regular,2023-09-03,Sports,240.4,2,480.8,Credit Card,Desktop,North America,4,2023-09,Sunday
T000028,C01800,Regular,2024-05-26,Beauty,100.91,1,100.91,Debit Card,Mobile,Europe,3,2024-05,Sunday
T000029,C00575,Occasional,2023-07-09,Sports,385.94,1,385.94,Debit Card,Mobile,Asia,5,2023-07,Sunday
T000030,C01596,Regular,2024-09-11,Sports,446.92,1,446.92,Credit Card,Mobile,Others,5,2024-09,Wednesday
T000031,C01130,Regular,2024-10-31,Home & Garden,119.92,1,119.92,Bank Transfer,Desktop,Europe,3,2024-10,Thursday
T000032,C01013,Occasional,2024-10-02,Clothing,79.93,1,79.93,Bank Transfer,Desktop,Europe,3,2024-10,Wednesday
T000033,C00704,Regular,2024-03-22,Sports,239.4,1,239.4,Credit Card,Mobile,North America,5,2024-03,Friday
T000034,C01009,Occasional,2023-04-04,Beauty,17.72,1,17.72,Credit Card,Mobile,Europe,5,2023-04,Tuesday
T000035,C01786,Regular,2024-06-05,Beauty,15.66,2,31.31,PayPal,Desktop,North America,4,2024-06,Wednesday
T000036,C00792,VIP,2023-12-02,Clothing,521.53,2,1043.05,Debit Card,Mobile,Europe,5,2023-12,Saturday
T000037,C01637,Occasional,2023-09-25,Home & Garden,177.13,1,177.13,Credit Card,Mobile,Europe,4,2023-09,Monday
T000038,C00727,Occasional,2023-03-31,Sports,32.41,1,32.41,Debit Card,Desktop,Asia,3,2023-03,Friday
T000039,C01444,Occasional,2024-12-29,Sports,346.16,1,346.16,PayPal,Mobile,North America,5,2024-12,Sunday
T000040,C00096,Regular,2024-10-25,Beauty,38.85,2,77.71,Credit Card,Mobile,Europe,3,2024-10,Friday
T000041,C00729,Occasional,2023-12-08,Sports,210.12,2,420.23,Credit Card,Tablet,Others,4,2023-12,Friday
T000042,C00851,VIP,2024-05-20,Sports,762.75,1,762.75,PayPal,Mobile,Asia,5,2024-05,Monday
T000043,C01210,Regular,2024-02-02,Clothing,168.22,1,168.22,PayPal,Desktop,North America,3,2024-02,Friday
T000044,C01543,Regular,2023-06-23,Sports,322.02,1,322.02,Credit Card,Mobile,Asia,5,2023-06,Friday
T000045,C01366,Occasional,2024-05-14,Electronics,1222.25,1,1222.25,PayPal,Mobile,Europe,4,2024-05,Tuesday
T000046,C01882,Regular,2024-06-14,Beauty,12.22,1,12.22,Credit Card,Desktop,Asia,3,2024-06,Friday
T000047,C01997,Regular,2023-12-14,Beauty,72.96,1,72.96,PayPal,Tablet,Europe,4,2023-12,Thursday
T000048,C00815,Occasional,2023-05-29,Beauty,75.09,1,75.09,Credit Card,Mobile,North America,3,2023-05,Monday
T000049,C01537,Regular,2024-01-08,Beauty,71.43,1,71.43,PayPal,Mobile,Europe,5,2024-01,Monday
T000050,C01032,Regular,2023-05-02,Books,23.5,1,23.5,Credit Card,Mobile,North America,3,2023-05,Tuesday
T000051,C01225,Regular,2024-12-24,Sports,193.18,2,386.35,PayPal,Desktop,Europe,5,2024-12,Tuesday
T000052,C00824,VIP,2023-08-30,Home & Garden,61.96,3,185.89,Credit Card,Mobile,North America,5,2023-08,Wednesday
T000053,C01878,VIP,2024-11-19,Sports,105.61,1,105.61,Debit Card,Mobile,Asia,3,2024-11,Tuesday
T000054,C00771,Regular,2024-03-12,Sports,437.83,1,437.83,Credit Card,Mobile,North America,4,2024-03,Tuesday
T000055,C00449,Regular,2024-05-02,Clothing,44.55,1,44.55,Debit Card,Desktop,Europe,4,2024-05,Thursday
T000056,C00389,Regular,2024-02-05,Sports,304.39,1,304.39,Credit Card,Mobile,North America,4,2024-02,Monday
T000057,C00859,Regular,2024-03-10,Clothing,151.19,1,151.19,PayPal,Desktop,North America,5,2024-03,Sunday
T000058,C00184,Regular,2024-02-05,Clothing,20.01,2,40.02,Credit Card,Mobile,North America,3,2024-02,Monday
T000059,C00111,VIP,2024-10-24,Home & Garden,443.23,1,443.23,Debit Card,Desktop,North America,5,2024-10,Thursday
T000060,C00634,Occasional,2023-02-20,Home & Garden,85.15,1,85.15,Debit Card,Mobile,Asia,4,2023-02,Monday
T000061,C01969,Regular,2023-03-19,Clothing,27.14,2,54.28,PayPal,Desktop,North America,2,2023-03,Sunday
T000062,C01050,Regular,2023-09-14,Electronics,1501.74,3,4505.21,PayPal,Mobile,Asia,4,2023-09,Thursday
T000063,C00666,Regular,2024-06-09,Home & Garden,370.8,1,370.8,Credit Card,Mobile,Europe,5,2024-06,Sunday
T000064,C01039,Regular,2023-07-11,Electronics,354.59,2,709.18,Debit Card,Mobile,North America,4,2023-07,Tuesday
T000065,C00025,Regular,2024-08-02,Clothing,121.33,1,121.33,PayPal,Mobile,North America,4,2024-08,Friday
T000066,C00425,Occasional,2024-09-04,Beauty,51.73,1,51.73,Bank Transfer,Mobile,North America,4,2024-09,Wednesday
T000067,C01606,Occasional,2024-05-17,Books,8.28,1,8.28,Credit Card,Mobile,Europe,5,2024-05,Friday
T000068,C00920,Regular,2023-08-11,Beauty,147.06,2,294.13,Credit Card,Desktop,Asia,4,2023-08,Friday
T000069,C00847,Regular,2024-12-15,Clothing,239.84,1,239.84,Debit Card,Mobile,North America,5,2024-12,Sunday
T000070,C00090,Regular,2024-10-15,Beauty,26.78,1,26.78,Credit Card,Mobile,North America,2,2024-10,Tuesday
T000071,C00172,VIP,2023-01-13,Clothing,57.25,1,57.25,Debit Card,Desktop,North America,4,2023-01,Friday
T000072,C01605,Occasional,2023-11-14,Books,13.58,2,27.15,Credit Card,Desktop,Europe,3,2023-11,Tuesday
T000073,C01856,Regular,2023-12-15,Home & Garden,117.07,1,117.07,Debit Card,Mobile,North America,5,2023-12,Friday
T000074,C01773,Regular,2023-02-11,Electronics,612.51,2,1225.02,Debit Card,Mobile,Europe,5,2023-02,Saturday
T000075,C00145,Regular,2023-08-13,Clothing,263.29,1,263.29,Debit Card,Mobile,North America,5,2023-08,Sunday
T000076,C01039,Regular,2024-09-14,Sports,464.55,3,1393.64,PayPal,Desktop,North America,5,2024-09,Saturday
T000077,C00196,Regular,2024-08-20,Clothing,227.79,2,455.57,PayPal,Mobile,North America,4,2024-08,Tuesday
T000078,C01181,Regular,2024-10-09,Sports,288.44,1,288.44,Debit Card,Desktop,Europe,5,2024-10,Wednesday
T000079,C01684,Occasional,2023-01-11,Beauty,42.74,1,42.74,Credit Card,Mobile,Europe,5,2023-01,Wednesday
T000080,C00985,Regular,2024-09-14,Books,12.4,2,24.8,Debit Card,Desktop,North America,2,2024-09,Saturday
T000081,C01929,VIP,2023-02-20,Sports,980.19,1,980.19,Credit Card,Mobile,Asia,4,2023-02,Monday
T000082,C01025,Regular,2024-07-20,Home & Garden,155.16,1,155.16,Credit Card,Mobile,North America,5,2024-07,Saturday
T000083,C00537,Occasional,2024-08-24,Home & Garden,161.25,2,322.5,Credit Card,Desktop,North America,4,2024-08,Saturday
T000084,C00025,VIP,2023-06-29,Beauty,111.03,1,111.03,Credit Card,Mobile,Others,4,2023-06,Thursday
T000085,C01385,Regular,2024-11-19,Books,16.27,1,16.27,Credit Card,Desktop,North America,4,2024-11,Tuesday
